date,transactions,sales,sales_transactions,cash_sales,cashless_transactions,cashless_kind,cashless_sales,cashless_sales_kind,customers,Customer_unit_price,store_horiday
2021/01/1,70,58340,70,58340,0,,0,,70,833,0
2021/01/2,80,73298,80,73298,0,,0,,80,916,0
2021/01/3,90,85452,90,85452,0,,0,,90,949,0
2021/01/4,77,63312,77,63312,0,,0,,77,822,0
2021/01/5,85,72448,85,72448,0,,0,,85,852,0
2021/01/6,0,0,0,0,0,,0,,0,0,1
2021/01/7,80,67323,80,67323,0,,0,,80,842,0
2021/01/8,78,65940,78,65940,0,,0,,78,845,0
2021/01/9,100,81802,100,81802,0,,0,,100,818,0
2021/01/10,103,90997,103,90997,0,,0,,103,883,0
2021/01/11,99,80354,99,80354,0,,0,,99,812,0
2021/01/12,49,37231,49,37231,0,,0,,49,760,0
2021/01/13,0,0,0,0,0,,0,,0,0,1
2021/01/14,88,61134,88,61134,0,,0,,88,695,0
2021/01/15,79,63335,79,63335,0,,0,,79,802,0
2021/01/16,110,98954,110,98954,0,,0,,110,900,0
2021/01/17,90,77835,90,77835,0,,0,,90,865,0
2021/01/18,77,60572,77,60572,0,,0,,77,787,0
2021/01/19,105,76785,105,76785,0,,0,,105,731,0
2021/01/20,0,0,0,0,0,,0,,0,0,1
2021/01/21,87,72219,87,72219,0,,0,,87,830,0
2021/01/22,93,81103,93,81103,0,,0,,93,872,0
2021/01/23,55,54213,55,54213,0,,0,,55,986,0
2021/01/24,55,51370,55,51370,0,,0,,55,934,0
2021/01/25,85,61946,85,61946,0,,0,,85,729,0
2021/01/26,71,63742,71,63742,0,,0,,71,898,0
2021/01/27,0,0,0,0,0,,0,,0,0,1
2021/01/28,60,54666,60,54666,0,,0,,60,911,0
2021/01/29,91,84979,91,84979,0,,0,,91,934,0
2021/01/30,101,100736,101,100736,0,,0,,101,997,0
2021/01/31,107,100061,107,100061,0,,0,,107,935,0
2021/02/1,0,0,0,0,0,,0,,0,0,1
2021/02/2,74,60851,74,60851,0,,0,,74,822,0
2021/02/3,60,52250,60,52250,0,,0,,60,871,0
2021/02/4,78,61234,78,61234,0,,0,,78,785,0
2021/02/5,82,71184,82,71184,0,,0,,82,868,0
2021/02/6,111,112334,111,112334,0,,0,,111,1012,0
2021/02/7,109,100869,109,100869,0,,0,,109,925,0
2021/02/8,0,0,0,0,0,,0,,0,0,1
2021/02/9,77,56735,77,56735,0,,0,,77,737,0
2021/02/10,73,63046,73,63046,0,,0,,73,864,0
2021/02/11,98,81458,98,81458,0,,0,,98,831,0
2021/02/12,72,62715,72,62715,0,,0,,72,871,0
2021/02/13,110,101727,110,101727,0,,0,,110,925,0
2021/02/14,100,88665,100,88665,0,,0,,100,887,0
2021/02/15,0,0,0,0,0,,0,,0,0,1
2021/02/16,95,67529,95,67529,0,,0,,95,711,0
2021/02/17,69,55261,65,53159,4,交通系IC(1)/MASTER(1)/iD(1)/QUICPay(1),2103,交通系IC(200)/MASTER(173)/iD(521)/QUICPay(1209),69,801,0
2021/02/18,70,63272,60,55498,10,JCB(1)/交通系IC(5)/iD(2)/MASTER(1)/QUICPay(1),7774,JCB(570)/交通系IC(3795)/iD(2016)/MASTER(683)/QUICPay(710),70,904,0
2021/02/19,80,68023,61,48830,19,MASTER(7)/JCB(3)/交通系IC(6)/QUICPay(1)/iD(2),19192,MASTER(5771)/JCB(3255)/交通系IC(5923)/QUICPay(1162)/iD(3081),80,850,0
2021/02/20,104,101535,72,64111,32,選択なし(1)/MASTER(10)/交通系IC(13)/iD(2)/JCB(2)/QUICPay(4),37424,選択なし(690)/MASTER(16581)/交通系IC(14826)/iD(1471)/JCB(1425)/QUICPay(2431),104,976,0
2021/02/21,106,93975,81,67935,25,交通系IC(11)/MASTER(11)/QUICPay(3),26041,交通系IC(11549)/MASTER(11948)/QUICPay(2544),106,887,0
2021/02/22,0,0,0,0,0,,0,,0,0,1
2021/02/23,117,99566,68,55655,49,QUICPay(4)/交通系IC(20)/MASTER(17)/選択なし(3)/JCB(2)/iD(2)/WAON(1),43912,QUICPay(3361)/交通系IC(16512)/MASTER(16342)/選択なし(3651)/JCB(1671)/iD(1280)/WAON(1095),117,851,0
2021/02/24,62,53081,42,32620,20,交通系IC(11)/MASTER(7)/iD(1)/JCB(1),20462,交通系IC(12464)/MASTER(6244)/iD(1033)/JCB(721),62,856,0
2021/02/25,82,62568,62,40819,20,MASTER(6)/iD(2)/交通系IC(8)/JCB(3)/選択なし(1),21749,MASTER(6999)/iD(2330)/交通系IC(8164)/JCB(2902)/選択なし(1354),82,763,0
2021/02/26,74,62792,52,40938,22,MASTER(15)/交通系IC(6)/JCB(1),21855,MASTER(15064)/交通系IC(5020)/JCB(1771),74,849,0
2021/02/27,105,93238,66,54945,39,iD(7)/MASTER(12)/交通系IC(14)/選択なし(2)/WAON(1)/JCB(2)/QUICPay(1),38293,iD(5164)/MASTER(12840)/交通系IC(11846)/選択なし(2711)/WAON(431)/JCB(3991)/QUICPay(1310),105,888,0
2021/02/28,111,103781,81,71676,30,MASTER(12)/交通系IC(12)/WAON(1)/iD(3)/QUICPay(1)/選択なし(1),32105,MASTER(14150)/交通系IC(10478)/WAON(330)/iD(2681)/QUICPay(1615)/選択なし(2851),111,935,0
2021/03/1,0,0,0,0,0,,0,,0,0,1
2021/03/2,69,55335,40,28589,29,MASTER(9)/JCB(5)/交通系IC(11)/iD(4),26745,MASTER(9242)/JCB(6858)/交通系IC(7839)/iD(2806),69,802,0
2021/03/3,75,62609,46,37208,29,MASTER(8)/交通系IC(11)/iD(5)/QUICPay(3)/JCB(2),25400,MASTER(5201)/交通系IC(7905)/iD(5820)/QUICPay(4014)/JCB(2460),75,835,0
2021/03/4,69,57889,52,41342,17,MASTER(4)/交通系IC(5)/iD(2)/JCB(3)/WAON(3),16547,MASTER(3699)/交通系IC(3621)/iD(1171)/JCB(5702)/WAON(2354),69,839,0
2021/03/5,72,61879,50,38152,22,MASTER(7)/JCB(5)/iD(3)/交通系IC(6)/WAON(1),23728,MASTER(6381)/JCB(5316)/iD(2129)/交通系IC(9043)/WAON(859),72,859,0
2021/03/6,107,96666,72,56748,35,交通系IC(14)/MASTER(12)/WAON(1)/JCB(5)/iD(2)/選択なし(1),39919,交通系IC(11258)/MASTER(19381)/WAON(675)/JCB(5560)/iD(2564)/選択なし(481),107,903,0
