date,min_temp,max_temp,temp_entry_3,temp_entry_6,temp_entry_9,temp_entry_12,temp_entry_15,temp_entry_18,temp_entry_21,temp_entry_24,humidity_entry_3,humidity_entry_6,humidity_entry_9,humidity_entry_12,humidity_entry_15,humidity_entry_18,humidity_entry_21,humidity_entry_24,pressure_entry_3,pressure_entry_6,pressure_entry_9,pressure_entry_12,pressure_entry_15,pressure_entry_18,pressure_entry_21,pressure_entry_24,wind_entry_3,wind_entry_6,wind_entry_9,wind_entry_12,wind_entry_15,wind_entry_18,wind_entry_21,wind_entry_24,discomfort_entry_3,discomfort_entry_6,discomfort_entry_9,discomfort_entry_12,discomfort_entry_15,discomfort_entry_18,discomfort_entry_21,discomfort_entry_24,pecipitation_3,pecipitation_6,pecipitation_9,pecipitation_12,pecipitation_15,pecipitation_18,pecipitation_21,pecipitation_24
2023/01/15,8.2,12.0,10.7,11.3,11.5,11.6,11.1,8.8,8.0,7.7,80,82,75,72,78,94,98,99,1004.6,1006.0,1008.6,1007.4,1006.9,1008.9,1007.7,1006.5,1,2,2,3,2,2,2,3,54,55,54,54,54,52,52,51,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0
2023/01/14,7.1,14.2,13.2,8.2,8.6,8.7,9.2,9.2,8.7,9.7,70,77,74,91,93,94,85,79,1009.0,1008.0,1007.2,1003.6,1001.8,1001.7,1002.3,1003.3,4,2,2,1,1,2,1,2,56,50,50,52,53,53,51,52,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2023/01/13,3.1,14.0,4.6,3.3,6.9,12.2,12.1,10.2,9.3,13.8,62,66,53,39,55,67,72,71,1022.2,1022.1,1022.3,1018.3,1015.5,1014.2,1013.4,1010.0,1,1,2,1,3,1,2,5,43,42,45,52,53,52,51,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/12,1.3,12.6,3.5,1.7,5.0,10.1,11.4,6.9,6.5,5.3,57,68,57,39,29,44,63,60,1020.8,1021.2,1022.4,1020.7,1019.7,1020.9,1021.7,1022.0,2,2,2,1,1,1,2,2,41,40,44,49,48,44,46,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/11,1.5,10.7,2.3,2.9,4.5,8.8,9.7,5.8,5.2,4.1,53,52,51,36,40,55,70,64,1020.3,1021.2,1022.8,1021.0,1020.4,1021.8,1022.1,1021.4,2,3,2,2,2,1,2,2,40,40,42,46,48,44,45,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/10,5.0,9.9,6.9,5.7,6.6,9.3,7.5,5.3,4.5,3.3,55,43,39,26,34,42,44,50,1009.8,1010.3,1014.5,1014.3,1016.0,1018.4,1019.4,1019.4,5,8,5,6,5,3,5,3,46,43,43,45,44,42,41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/09,2.4,13.9,5.6,3.3,6.4,12.7,12.1,9.2,7.8,7.4,57,69,56,44,52,71,72,65,1017.4,1017.1,1017.2,1014.0,1011.6,1010.2,1009.1,1008.6,2,3,2,1,3,2,1,2,44,43,46,52,53,51,49,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/08,1.6,12.5,3.2,2.9,5.8,10.9,11.1,6.6,8.7,7.6,70,68,60,40,42,56,63,61,1012.1,1014.4,1016.8,1015.8,1015.7,1017.1,1017.9,1017.8,2,2,2,2,2,3,2,3,43,42,45,49,51,46,49,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/07,3.0,10.4,4.5,4.0,5.2,9.0,9.5,5.8,5.3,4.0,58,59,57,46,52,59,74,74,1012.3,1012.0,1011.5,1009.0,1007.8,1008.6,1010.1,1010.9,2,3,2,2,2,1,1,2,43,43,44,48,49,45,46,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/06,0.0,9.9,1.7,0.9,3.7,8.2,9.1,6.3,6.6,6.6,50,55,52,41,37,46,51,53,1018.5,1018.8,1019.7,1017.7,1015.6,1015.6,1015.3,1013.9,2,2,2,1,2,2,1,2,38,37,41,46,47,44,45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
