"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"08/1(日)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/2(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/3(火)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/4(水)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/5(木)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/6(金)","57","52494","36","52458","48624","36","48588","0","3870","0","3870","40","37570","34800","17","iD(3)/選択なし(2)/MASTER(4)/交通系IC(7)/JCB(1)","14924","iD(2110)/選択なし(1283)/MASTER(4815)/交通系IC(4534)/JCB(2182)","13823","iD(1954)/選択なし(1188)/MASTER(4460)/交通系IC(4200)/JCB(2021)","0","","0","","0","","3","873","807","0","0","0","","0","0","0","0","0","0","0","57","0","0","921","853","0"
"08/7(土)","82","88989","50","88939","82421","50","82371","0","6568","0","6568","54","56388","52226","28","iD(4)/交通系IC(12)/MASTER(9)/選択なし(1)/JCB(2)","32601","iD(2510)/交通系IC(7178)/MASTER(17256)/選択なし(3643)/JCB(2014)","30194","iD(2325)/交通系IC(6648)/MASTER(15982)/選択なし(3374)/JCB(1865)","0","","0","","0","","1","298","276","0","0","0","","0","0","0","0","0","0","0","82","0","0","1085","1005","0"
"08/8(日)","50","63201","59","63142","58544","59","58485","0","4657","0","4657","25","27762","25716","25","交通系IC(12)/MASTER(7)/iD(4)/JCB(2)","35439","交通系IC(11783)/MASTER(13378)/iD(6016)/JCB(4262)","32828","交通系IC(10915)/MASTER(12392)/iD(5573)/JCB(3948)","0","","0","","0","","1","773","716","0","0","0","","0","0","0","0","0","0","0","50","0","0","1264","1171","0"
"08/9(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/10(火)","41","47434","46","47388","43936","46","43890","0","3498","0","3498","25","29232","27076","16","交通系IC(8)/MASTER(4)/iD(2)/JCB(2)","18202","交通系IC(6399)/MASTER(6774)/iD(3014)/JCB(2015)","16859","交通系IC(5927)/MASTER(6274)/iD(2792)/JCB(1866)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","41","0","0","1157","1072","0"
"08/11(水)","44","42444","25","42419","39312","25","39287","0","3132","0","3132","27","24840","23007","17","交通系IC(6)/WAON(1)/MASTER(4)/JCB(4)/QUICPay(1)/iD(1)","17604","交通系IC(4301)/WAON(2541)/MASTER(4732)/JCB(4646)/QUICPay(584)/iD(800)","16306","交通系IC(3984)/WAON(2354)/MASTER(4383)/JCB(4303)/QUICPay(541)/iD(741)","0","","0","","0","","1","188","174","0","0","0","","0","0","0","0","0","0","0","44","0","0","965","893","0"
"08/12(木)","66","64714","52","64662","59940","52","59888","0","4774","0","4774","42","38622","35773","24","交通系IC(10)/JCB(3)/選択なし(1)/MASTER(6)/iD(3)/QUICPay(1)","26092","交通系IC(7965)/JCB(4432)/選択なし(1496)/MASTER(7871)/iD(3615)/QUICPay(713)","24166","交通系IC(7377)/JCB(4105)/選択なし(1386)/MASTER(7290)/iD(3348)/QUICPay(660)","0","","0","","0","","1","342","317","0","0","0","","0","0","0","0","0","0","0","66","0","0","981","908","0"
"08/13(金)","54","56852","39","56813","52662","39","52623","0","4190","0","4190","33","29473","27301","21","交通系IC(8)/MASTER(9)/選択なし(3)/JCB(1)","27379","交通系IC(4948)/MASTER(14365)/選択なし(6240)/JCB(1826)","25360","交通系IC(4583)/MASTER(13306)/選択なし(5780)/JCB(1691)","0","","0","","0","","2","301","279","0","0","0","","0","0","0","0","0","0","0","54","0","0","1053","975","0"
"08/14(土)","71","79995","88","79907","74083","88","73995","0","5912","0","5912","43","44875","41559","28","iD(5)/MASTER(10)/交通系IC(10)/選択なし(1)/WAON(1)/JCB(1)","35120","iD(4542)/MASTER(19612)/交通系IC(8880)/選択なし(584)/WAON(1189)/JCB(313)","32525","iD(4206)/MASTER(18163)/交通系IC(8224)/選択なし(541)/WAON(1101)/JCB(290)","0","","0","","0","","1","533","494","0","0","0","","0","0","0","0","0","0","0","71","0","0","1127","1043","0"
"08/15(日)","57","61641","41","61600","57092","41","57051","0","4549","0","4549","36","38168","35351","21","MASTER(5)/交通系IC(10)/iD(3)/選択なし(1)/JCB(1)/QUICPay(1)","23473","MASTER(5410)/交通系IC(10275)/iD(3628)/選択なし(1221)/JCB(1534)/QUICPay(1405)","21741","MASTER(5011)/交通系IC(9517)/iD(3360)/選択なし(1131)/JCB(1421)/QUICPay(1301)","0","","0","","0","","2","529","489","0","0","0","","0","0","0","0","0","0","0","57","0","0","1081","1002","0"
"08/16(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/17(火)","62","61712","45","61667","57153","45","57108","0","4559","0","4559","45","44804","41494","17","MASTER(4)/交通系IC(8)/iD(2)/JCB(3)","16908","MASTER(6213)/交通系IC(6305)/iD(1621)/JCB(2769)","15658","MASTER(5754)/交通系IC(5839)/iD(1501)/JCB(2564)","0","","0","","0","","2","422","391","0","0","0","","0","0","0","0","0","0","0","62","0","0","995","922","0"
"08/18(水)","54","50165","52","50113","46464","52","46412","0","3701","0","3701","38","35734","33098","16","交通系IC(7)/JCB(2)/MASTER(4)/iD(2)/選択なし(1)","14431","交通系IC(4649)/JCB(2269)/MASTER(4298)/iD(1086)/選択なし(2129)","13367","交通系IC(4306)/JCB(2102)/MASTER(3981)/iD(1006)/選択なし(1972)","0","","0","","0","","1","272","252","0","0","0","","0","0","0","0","0","0","0","54","0","0","929","860","0"
"08/19(木)","58","46965","43","46922","43500","43","43457","0","3465","0","3465","39","29675","27486","19","JCB(3)/MASTER(3)/交通系IC(12)/iD(1)","17290","JCB(3071)/MASTER(4182)/交通系IC(8502)/iD(1535)","16014","JCB(2844)/MASTER(3873)/交通系IC(7875)/iD(1422)","0","","0","","0","","1","391","362","0","0","0","","0","0","0","0","0","0","0","58","0","0","810","750","0"
"08/20(金)","73","68083","50","68033","63054","50","63004","0","5029","0","5029","47","36926","34198","26","選択なし(3)/交通系IC(8)/MASTER(7)/iD(3)/JCB(4)/QUICPay(1)","31157","選択なし(3342)/交通系IC(5238)/MASTER(8630)/iD(5427)/JCB(6986)/QUICPay(1534)","28856","選択なし(3095)/交通系IC(4851)/MASTER(7993)/iD(5026)/JCB(6470)/QUICPay(1421)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","73","0","0","933","864","0"
"08/21(土)","81","85611","69","85542","79294","69","79225","0","6317","0","6317","48","51502","47702","33","MASTER(11)/交通系IC(15)/iD(5)/WAON(1)/選択なし(1)","34109","MASTER(13303)/交通系IC(12243)/iD(6159)/WAON(1107)/選択なし(1297)","31592","MASTER(12321)/交通系IC(11340)/iD(5705)/WAON(1025)/選択なし(1201)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","81","0","0","1057","979","0"
