"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"04/1(金)","49","45114","54","45060","41790","54","41736","0","3324","0","3324","28","23991","22223","21","Master(9)/JCB(5)/交通系IC(4)/QUICPay(3)","21123","Master(8821)/JCB(5135)/交通系IC(4802)/QUICPay(2365)","19567","Master(8171)/JCB(4757)/交通系IC(4448)/QUICPay(2191)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","49","0","0","921","1","920","853","1","852","0"
"04/2(土)","91","106461","84","106377","98615","84","98531","0","7846","0","7846","52","52539","48667","39","交通系IC(19)/Master(13)/JCB(4)/WAON(1)/QUICPay(2)","53922","交通系IC(20391)/Master(19370)/JCB(8727)/WAON(2660)/QUICPay(2774)","49948","交通系IC(18888)/Master(17942)/JCB(8084)/WAON(2464)/QUICPay(2570)","0","","0","","0","","3","559","517","0","0","0","","0","0","0","0","0","0","0","91","0","0","1170","1","1169","1084","1","1083","0"
"04/3(日)","66","78435","62","78373","72649","62","72587","0","5786","0","5786","44","51046","47280","22","交通系IC(8)/Master(8)/iD(4)/JCB(2)","27389","交通系IC(9204)/Master(7743)/iD(5073)/JCB(5369)","25369","交通系IC(8525)/Master(7172)/iD(4699)/JCB(4973)","0","","0","","0","","1","440","408","0","0","0","","0","0","0","0","0","0","0","66","0","0","1188","1","1187","1101","1","1100","0"
"04/4(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04/5(火)","82","77570","66","77504","71824","66","71758","0","5746","0","5746","45","39507","36581","37","交通系IC(17)/Master(14)/iD(4)/JCB(2)","38063","交通系IC(13534)/Master(15144)/iD(4552)/JCB(4833)","35243","交通系IC(12531)/Master(14022)/iD(4215)/JCB(4475)","0","","0","","0","","2","398","369","0","0","0","","0","0","0","0","0","0","0","82","0","0","946","1","945","876","1","875","0"
"04/6(水)","63","55580","54","55526","51465","54","51411","0","4115","0","4115","28","25831","23919","35","JCB(5)/選択なし(1)/交通系IC(18)/Master(6)/iD(3)/WAON(1)/QUICPay(1)","29749","JCB(5433)/選択なし(443)/交通系IC(13962)/Master(5906)/iD(2926)/WAON(676)/QUICPay(403)","27546","JCB(5031)/選択なし(410)/交通系IC(12928)/Master(5469)/iD(2709)/WAON(626)/QUICPay(373)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","63","0","0","882","1","881","817","1","816","0"
"04/7(木)","72","68691","76","68615","63597","76","63521","0","5094","0","5094","52","49840","46144","20","交通系IC(11)/Master(6)/JCB(2)/iD(1)","18851","交通系IC(7968)/Master(7624)/JCB(2710)/iD(549)","17453","交通系IC(7377)/Master(7059)/JCB(2509)/iD(508)","0","","0","","0","","2","676","626","0","0","0","","0","0","0","0","0","0","0","72","0","0","954","1","953","883","1","882","0"
"04/8(金)","58","56411","64","56347","52226","64","52162","0","4185","0","4185","35","30154","27917","23","JCB(4)/交通系IC(9)/Master(7)/QUICPay(1)/iD(2)","26257","JCB(7942)/交通系IC(4829)/Master(10663)/QUICPay(1425)/iD(1398)","24309","JCB(7353)/交通系IC(4471)/Master(9872)/QUICPay(1319)/iD(1294)","0","","0","","0","","1","149","138","0","0","0","","0","0","0","0","0","0","0","58","0","0","973","1","972","900","1","899","0"
"04/9(土)","102","115799","87","115712","107209","87","107122","0","8590","0","8590","56","62485","57850","46","JCB(3)/交通系IC(20)/iD(9)/Master(11)/QUICPay(1)/選択なし(2)","53314","JCB(2088)/交通系IC(22807)/iD(7933)/Master(17456)/QUICPay(679)/選択なし(2351)","49360","JCB(1933)/交通系IC(21115)/iD(7345)/Master(16161)/QUICPay(629)/選択なし(2177)","0","","0","","0","","2","616","570","0","0","0","","0","0","0","0","0","0","0","102","0","0","1135","1","1134","1051","1","1050","0"
"04/10(日)","92","94259","74","94185","87265","74","87191","0","6994","0","6994","44","34604","32036","48","iD(6)/交通系IC(14)/Master(21)/WAON(1)/QUICPay(2)/JCB(4)","59655","iD(7280)/交通系IC(11341)/Master(30835)/WAON(2164)/QUICPay(2034)/JCB(6001)","55229","iD(6740)/交通系IC(10500)/Master(28547)/WAON(2003)/QUICPay(1883)/JCB(5556)","0","","0","","0","","2","799","739","0","0","0","","0","0","0","0","0","0","0","92","0","0","1025","1","1024","949","1","948","0"
