年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
2021/1/1,10.5,8,1,-1.3,8,1,0,1,8,1,8.7,0,8,1,1.5,8,1,3.2,8,1,0.0,8,1,快晴,8,1
2021/1/2,10.8,8,1,0.1,8,1,0,1,8,1,8.8,0,8,1,2.0,8,1,4.5,8,1,2.0,8,1,快晴,8,1
2021/1/3,8.4,8,1,-0.4,8,1,0,1,8,1,8.8,0,8,1,1.6,8,1,4.1,8,1,4.0,8,1,晴,8,1
2021/1/4,11.4,8,1,1.3,8,1,0,1,8,1,7.7,0,8,1,1.8,8,1,4.7,8,1,4.8,8,1,晴一時曇,8,1
2021/1/5,10.0,8,1,2.5,8,1,0,1,8,1,1.0,0,8,1,1.7,8,1,6.4,8,1,10.0,8,1,曇,8,1
2021/1/6,6.8,8,1,3.9,8,1,0.0,0,8,1,0.4,0,8,1,2.4,8,1,6.5,8,1,10.0,8,1,曇,8,1
2021/1/7,12.7,8,1,2.0,8,1,0,1,8,1,7.4,0,8,1,4.0,8,1,4.3,8,1,7.5,8,1,晴一時曇,8,1
2021/1/8,6.5,8,1,-1.5,8,1,0,1,8,1,5.4,0,8,1,1.8,8,1,3.0,8,1,4.0,8,1,晴時々曇,8,1
2021/1/9,8.4,8,1,-1.5,8,1,0,1,8,1,8.5,0,8,1,2.3,8,1,2.2,8,1,2.0,8,1,晴,8,1
2021/1/10,8.1,8,1,-2.4,8,1,0,1,8,1,8.9,0,8,1,2.0,8,1,3.1,8,1,2.3,8,1,快晴,8,1
2021/1/11,6.5,8,1,-1.3,8,1,0,1,8,1,0.8,0,8,1,2.0,8,1,3.4,8,1,7.5,8,1,曇,8,1
2021/1/12,5.7,8,1,1.2,8,1,0.0,0,8,1,0.0,0,8,1,2.3,8,1,5.3,8,1,10.0,8,1,曇後雨一時みぞれ,8,1
2021/1/13,12.5,8,1,-0.5,8,1,0,1,8,1,9.1,0,8,1,1.8,8,1,5.6,8,1,1.3,8,1,快晴,8,1
2021/1/14,14.5,8,1,0.9,8,1,0,1,8,1,9.0,0,8,1,1.8,8,1,5.8,8,1,0.0,8,1,快晴,8,1
2021/1/15,7.6,8,1,4.9,8,1,0.0,0,8,1,0.0,0,8,1,2.1,8,1,6.6,8,1,7.5,8,1,曇,8,1
2021/1/16,18.7,8,1,4.3,8,1,0,1,8,1,8.8,0,8,1,2.7,8,1,7.4,8,1,3.3,8,1,晴,8,1
2021/1/17,8.0,8,1,4.1,8,1,0,1,8,1,0.2,0,8,1,2.2,8,1,4.9,8,1,9.8,8,1,曇,8,1
2021/1/18,8.6,8,1,1.0,8,1,0,1,8,1,5.4,0,8,1,2.0,8,1,5.5,8,1,5.0,8,1,曇後晴,8,1
2021/1/19,9.5,8,1,1.0,8,1,0,1,8,1,9.2,0,8,1,4.1,8,1,3.3,8,1,0.0,8,1,快晴,8,1
2021/1/20,9.5,8,1,0.2,8,1,0,1,8,1,9.2,0,8,1,2.8,8,1,3.3,8,1,0.3,8,1,快晴,8,1
2021/1/21,10.7,8,1,-0.3,8,1,0,1,8,1,9.1,0,8,1,1.8,8,1,4.6,8,1,4.0,8,1,晴,8,1
2021/1/22,16.0,8,1,1.2,8,1,0,1,8,1,7.7,0,8,1,1.4,8,1,5.2,8,1,6.5,8,1,晴後一時曇,8,1
2021/1/23,10.2,8,1,2.7,8,1,19.0,0,8,1,0.0,0,8,1,3.1,8,1,8.1,8,1,10.0,8,1,雨一時曇,8,1
2021/1/24,6.5,8,1,2.3,8,1,13.0,0,8,1,0.0,0,8,1,3.6,8,1,8.0,8,1,10.0,8,1,雨時々曇,8,1
2021/1/25,13.2,8,1,3.8,8,1,1.5,0,8,1,8.8,0,8,1,1.9,8,1,7.5,8,1,7.3,8,1,薄曇一時晴,8,1
2021/1/26,11.2,8,1,2.7,8,1,0,1,8,1,2.2,0,8,1,1.7,8,1,7.6,8,1,5.8,8,1,曇一時晴,8,1
2021/1/27,16.2,8,1,6.4,8,1,1.0,0,8,1,0.8,0,8,1,2.5,8,1,8.3,8,1,9.5,8,1,曇後一時晴,8,1
2021/1/28,7.9,8,1,0.9,8,1,9.0,0,8,1,0.2,0,8,1,2.5,8,1,6.4,8,1,10.0,8,1,曇後雨一時みぞれ,8,1
2021/1/29,10.8,8,1,0.7,8,1,0,1,8,1,7.5,0,8,1,3.2,8,1,4.6,8,1,4.5,8,1,晴,8,1
2021/1/30,9.3,8,1,0.9,8,1,0,1,8,1,9.4,0,8,1,2.9,8,1,2.8,8,1,0.0,8,1,快晴,8,1
2021/1/31,11.9,8,1,-0.4,8,1,0,1,8,1,9.4,0,8,1,2.6,8,1,3.7,8,1,0.0,8,1,快晴,8,1
